week_date,actual,in_sample,oos_val,is_live,pred_persistence,pred_hgb,pred_rf,pred_gbm,pred_elasticnet,pred_ridge,pred_ensemble
2001-07-02,1.35,1,0,0,1.384,1.3594368228896028,1.3719885167864356,1.3598020367710706,1.5331795537902486,1.370674000389437,1.3900926158381375
2001-07-09,1.33,1,0,0,1.35,1.3304295701890776,1.3467813495440952,1.3424793500322203,1.4860481363970917,1.3357762083373284,1.3600849732274451
2001-07-16,1.318,1,0,0,1.33,1.3203994914252724,1.3347238019680467,1.3283162426773116,1.4583634427755514,1.3366695215403317,1.3490388786860286
2001-07-23,1.319,1,0,0,1.318,1.3258720373334485,1.3342823311278822,1.3288837388755275,1.4373036783488757,1.341656701396888,1.3484813523009271
2001-07-30,1.319,1,0,0,1.319,1.3162012277666757,1.3360016191036885,1.3253542372722922,1.4302703634906795,1.3520283887541245,1.3474143487567087
2001-08-06,1.347,1,0,0,1.319,1.3611766935204415,1.3590819217962702,1.3607628151605375,1.4287126653661875,1.352565519606697,1.3686337020355108
2001-08-13,1.399,1,0,0,1.347,1.3986136067151842,1.3880227569418382,1.3821039529592902,1.4419818655550174,1.3830632991269531,1.3957302268062273
2001-08-20,1.48,1,0,0,1.399,1.454323200316586,1.4446127947433531,1.4427688309938045,1.4713725253513565,1.4313564678919646,1.4468460378278667
2001-08-27,1.538,1,0,0,1.48,1.5324461586541613,1.4938122917302714,1.5103948544289116,1.5217464424507792,1.523225177926944,1.5181107929643167
2001-09-03,1.511,1,0,0,1.538,1.5259009940295738,1.505654856828574,1.524816849996003,1.5747208968898319,1.5537852849484808,1.5375519353311884
2001-09-10,1.516,1,0,0,1.511,1.500521372438808,1.4979154224003888,1.48932986455561,1.5927399019078108,1.507626317909807,1.5131836973616284
2001-09-17,1.46,1,0,0,1.516,1.4614517898894608,1.4629157121556806,1.465836936520847,1.600818379653843,1.4900143723662072,1.4909808071995099
2001-09-24,1.381,1,0,0,1.46,1.3887785190047326,1.4163193185119856,1.4091449524988031,1.579657321016742,1.4149017630917644,1.4325879093259666
2001-10-01,1.31,1,0,0,1.381,1.3064991127928234,1.3383516991818174,1.3033734286825611,1.5196268865232265,1.2984766687904692,1.3397402408708825
2001-10-08,1.264,1,0,0,1.31,1.278789842588031,1.2844205706804486,1.2698367495553748,1.464099398131703,1.2640309061546096,1.3012521381475977
2001-10-15,1.221,1,0,0,1.264,1.2099822963691962,1.241922945590534,1.21305816317147,1.4113585254589824,1.195829256147073,1.2413301394559735
2001-10-22,1.193,1,0,0,1.221,1.176659905710871,1.203613727513228,1.1918829923657424,1.3673087592626851,1.1987785508515083,1.2180992525280592
2001-10-29,1.17,1,0,0,1.193,1.1667521952027495,1.1733844771241824,1.1659280044723903,1.3335915720613065,1.174955329770369,1.194514683641495
2001-11-05,1.147,1,0,0,1.17,1.1474274220688223,1.1605471388888853,1.1526338469945097,1.309087687877898,1.1583711307011058,1.1774142168716901
2001-11-12,1.14,1,0,0,1.147,1.1320696825132535,1.150944033549778,1.140628419718046,1.283800049206527,1.1321197394482194,1.159271917923473
2001-11-19,1.097,1,0,0,1.14,1.1032990562528888,1.1149445780849947,1.1108437235280684,1.27241279271745,1.1429583778023067,1.142276552222089
2001-11-26,1.084,1,0,0,1.097,1.0916831887412368,1.1012642181337182,1.0910504428307977,1.242111610114478,1.088991023331812,1.1145765681758746
2001-12-03,1.075,1,0,0,1.084,1.0766991537946409,1.0841932235449694,1.0840481634268866,1.2251125484091898,1.0904808983042205,1.1052054395791007
2001-12-10,1.042,1,0,0,1.075,1.0677665693937817,1.0667931986346946,1.0698779304063073,1.2141068921991414,1.0796650808250348,1.0931126191906622
2001-12-17,1.063,1,0,0,1.042,1.072818762571017,1.0704100291005243,1.08195424866205,1.1908965629069639,1.0521900233596106,1.0868790419561627
2001-12-24,1.096,1,0,0,1.063,1.101778560264348,1.0956387677757966,1.0933137218968774,1.1909126116949187,1.0879155551676478,1.1086564496617073
2001-12-31,1.109,1,0,0,1.096,1.1047932204290563,1.1074596838624318,1.1110718182173485,1.2059713326479633,1.1118741935759235,1.1235934506605614
2002-01-07,1.099,1,0,0,1.109,1.1029668177428864,1.1059069968734945,1.1053347331834649,1.2214429237434161,1.1318585555161251,1.1291837555019764
2002-01-14,1.087,1,0,0,1.099,1.087187951440584,1.105361967291966,1.0939901261667098,1.228895135531196,1.1121374973118396,1.1189111248971078
