week_date,regime_int,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2009-10-19,0.0,NORMAL,0.9977789599779769,8.438167110833742e-11,0.0,0.0022210399381733512
2009-10-26,0.0,NORMAL,0.866957588872438,1.140447416744909e-07,0.0,0.1330422970826227
2009-11-02,0.0,NORMAL,0.8013498812658527,7.460947584740573e-07,0.0,0.19864937264010868
2009-11-09,0.0,NORMAL,0.8231161229942244,3.4321965450162163e-07,0.0,0.17688353378690003
2009-11-16,0.0,NORMAL,0.864475253200783,2.4329127268809384e-07,0.0,0.13552450350760045
2009-11-23,0.0,NORMAL,0.9658740316506839,2.023616474538343e-08,0.0,0.03412594811265176
2009-11-30,0.0,NORMAL,0.994632613272538,2.943275455565155e-10,0.0,0.005367386432427147
2009-12-07,0.0,NORMAL,0.9989165207079579,2.8452393860294234e-11,0.0,0.001083479262761647
2009-12-14,0.0,NORMAL,0.999668588653493,5.407139090322448e-12,0.0,0.00033141134088128917
2009-12-21,0.0,NORMAL,0.9998870075227625,3.4142162231493695e-13,0.0,0.00011299247754647047
2009-12-28,0.0,NORMAL,0.9999722199538805,2.2113003012631855e-14,0.0,2.7780046904663335e-05
2010-01-04,0.0,NORMAL,0.9999552607190944,5.430252618105005e-14,0.0,4.473928093779851e-05
2010-01-11,0.0,NORMAL,0.9999670176148886,2.350257033294605e-13,0.0,3.29823849858298e-05
2010-01-18,0.0,NORMAL,0.999877103853484,2.524026167156252e-12,0.0,0.00012289614463339947
2010-01-25,0.0,NORMAL,0.9999582686445407,1.2437819637102885e-12,0.0,4.173135385824724e-05
2010-02-01,0.0,NORMAL,0.9999750652003179,5.353234246916245e-12,0.0,2.493479514643551e-05
2010-02-08,0.0,NORMAL,0.9999258428810296,2.153035886201172e-11,0.0,7.415709747955182e-05
2010-02-15,0.0,NORMAL,0.99979069731203,3.5045629219836025e-11,0.0,0.0002093026530307793
2010-02-22,0.0,NORMAL,0.9992334975022679,3.1034851239418893e-10,0.0,0.0007665021865147047
